기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20231219,,0,ST-1045,,ST-1083,,1,59,710
20231219,,0,ST-1063,,ST-1063,,1,0,0
20231219,,0,ST-1092,,ST-502,,1,6,1135
20231219,,0,ST-1093,,ST-566,,1,3,680
20231219,,0,ST-1124,,ST-2967,,1,8,1710
20231219,,0,ST-1166,,ST-1361,,1,8,1021
20231219,,0,ST-118,,ST-2623,,1,12,1541
20231219,,0,ST-1185,,ST-2838,,1,21,3470
20231219,,0,ST-1251,,ST-2040,,1,5,1009
20231219,,0,ST-1305,,ST-1906,,1,2,434
20231219,,0,ST-1317,,ST-655,,1,1,0
20231219,,0,ST-1320,,ST-3199,,1,27,7040
20231219,,0,ST-1375,,ST-2294,,1,6,1020
20231219,,0,ST-1440,,ST-1198,,1,5,1670
20231219,,0,ST-1475,,ST-2067,,1,13,3000
20231219,,0,ST-1512,,ST-3094,,1,4,990
20231219,,0,ST-1512,,ST-530,,1,8,1239
20231219,,0,ST-1514,,ST-2023,,1,25,960
20231219,,0,ST-1523,,ST-2013,,1,3,253
20231219,,0,ST-1546,,ST-2873,,1,5,630
20231219,,0,ST-1590,,ST-1730,,1,5,1350
20231219,,0,ST-1631,,ST-3258,,1,5,840
20231219,,0,ST-1668,,ST-151,,1,8,1280
20231219,,0,ST-1677,,ST-287,,1,4,900
20231219,,0,ST-1699,,ST-417,,1,8,1020
20231219,,0,ST-1714,,ST-2029,,1,16,2605
20231219,,0,ST-1715,,ST-2611,,1,12,1420
20231219,,0,ST-1730,,ST-2797,,1,18,1110
20231219,,0,ST-1733,,ST-1733,,1,26,1820
20231219,,0,ST-175,,ST-265,,1,12,2160
20231219,,0,ST-1757,,ST-705,,1,25,3608
20231219,,0,ST-18,,ST-2157,,1,6,1056
20231219,,0,ST-1814,,ST-175,,1,2,0
20231219,,0,ST-1817,,ST-156,,1,2,364
20231219,,0,ST-1818,,ST-157,,1,41,2070
20231219,,0,ST-1818,,ST-2427,,2,11,1450
20231219,,0,ST-1848,,ST-1045,,1,6,590
20231219,,0,ST-186,,ST-2431,,1,13,1639
20231219,,0,ST-1866,,ST-550,,1,9,1192
20231219,,0,ST-1880,,ST-1654,,1,15,2548
20231219,,0,ST-1914,,ST-2669,,1,4,1012
20231219,,0,ST-1974,,ST-304,,1,3,457
20231219,,0,ST-1996,,ST-1996,,1,0,0
20231219,,0,ST-2005,,ST-2013,,1,10,1526
20231219,,0,ST-2039,,ST-1005,,1,21,3393
20231219,,0,ST-2041,,ST-2613,,1,10,1563
20231219,,0,ST-2078,,ST-736,,1,10,1348
20231219,,0,ST-2102,,ST-1387,,1,5,935
20231219,,0,ST-2267,,ST-1599,,1,40,7360
20231219,,0,ST-2268,,ST-2560,,1,10,1910
20231219,,0,ST-227,,ST-2205,,1,3,450
20231219,,0,ST-2290,,ST-854,,1,6,1200
20231219,,0,ST-2292,,ST-600,,1,7,1023
20231219,,0,ST-2318,,ST-371,,1,3,460
20231219,,0,ST-2342,,ST-985,,1,12,3017
20231219,,0,ST-2395,,ST-2761,,1,5,581
20231219,,0,ST-2431,,ST-1819,,1,14,2360
20231219,,0,ST-251,,ST-2508,,1,4,548
20231219,,0,ST-2538,,ST-2034,,1,5,814
20231219,,0,ST-259,,ST-102,,1,19,2023
20231219,,0,ST-271,,ST-2509,,1,21,4420
20231219,,0,ST-2713,,ST-1288,,1,3,683
20231219,,0,ST-272,,ST-175,,1,4,714
20231219,,0,ST-2726,,ST-2726,,1,0,0
20231219,,0,ST-2726,,ST-2967,,1,2,0
20231219,,0,ST-273,,ST-404,,1,15,2376
20231219,,0,ST-2739,,ST-1835,,1,9,2000
20231219,,0,ST-2749,,ST-1420,,1,12,1110
20231219,,0,ST-2760,,ST-2007,,1,3,537
20231219,,0,ST-2770,,ST-1500,,1,2,439
20231219,,0,ST-2771,,ST-2008,,1,21,1261
20231219,,0,ST-2793,,ST-2232,,1,5,895
20231219,,0,ST-2884,,ST-2412,,1,6,869
20231219,,0,ST-2921,,ST-2922,,1,4,560
20231219,,0,ST-293,,ST-288,,1,4,663
20231219,,0,ST-299,,ST-2800,,1,3,612
20231219,,0,ST-3063,,ST-1473,,1,46,2521
20231219,,0,ST-3094,,ST-2557,,1,6,650
20231219,,0,ST-3104,,ST-1995,,1,9,1101
20231219,,0,ST-311,,ST-2013,,1,14,2500
20231219,,0,ST-3116,,ST-2085,,1,12,1520
20231219,,0,ST-3142,,ST-416,,1,53,1968
20231219,,0,ST-3148,,ST-1045,,1,6,691
20231219,,0,ST-3214,,ST-2595,,1,7,959
20231219,,0,ST-3256,,ST-2718,,1,8,1287
20231219,,0,ST-351,,ST-347,,1,10,1650
20231219,,0,ST-368,,ST-446,,1,7,900
20231219,,0,ST-408,,ST-271,,1,3,630
20231219,,0,ST-413,,ST-3212,,1,1,260
20231219,,0,ST-420,,ST-1218,,1,10,2500
20231219,,0,ST-463,,ST-3272,,1,15,1374
20231219,,0,ST-494,,ST-1763,,1,8,1499
20231219,,0,ST-541,,ST-541,,1,11,1411
20231219,,0,ST-615,,ST-2099,,1,6,890
20231219,,0,ST-643,,ST-650,,1,4,548
20231219,,0,ST-650,,ST-1389,,1,8,1320
20231219,,0,ST-650,,ST-1726,,1,7,1147
20231219,,0,ST-654,,ST-651,,1,14,1220
20231219,,0,ST-676,,ST-2005,,1,10,2144
20231219,,0,ST-690,,ST-2817,,1,14,3291
20231219,,0,ST-728,,ST-690,,2,13,1900
20231219,,0,ST-776,,ST-2673,,1,7,1577
